Category,Subcategory,countryISO3,region_code,population,hoursPerDayCombined,uncertaintyCombined,dataStatus,dataStatusEconomic
Somatic maintenance,Sleep & bedrest,CZE,EU_E,10689213.0,8.95,0.0302368907986518,interpolated,observed
Maintenance of surroundings,Waste management,CZE,EU_E,10689213.0,0.02,5.2898920464299456e-06,interpolated,observed
Somatic maintenance,Physical child care,CZE,EU_E,10689213.0,0.4,0.013793759074125802,interpolated,observed
Somatic maintenance,Health care,CZE,EU_E,10689213.0,0.23,0.0008993636099345855,interpolated,observed
Somatic maintenance,Hygiene & grooming,CZE,EU_E,10689213.0,1.13,0.041218546385721956,interpolated,observed
Deliberate neural restructuring,Schooling & research,CZE,EU_E,10689213.0,0.76,0.01903605435425233,interpolated,observed
Deliberate neural restructuring,Religious practice,CZE,EU_E,10689213.0,0.19,0.004029687129872325,interpolated,observed
Organization,Human transportation,CZE,EU_E,10689213.0,0.71,0.01007396532152763,interpolated,observed
Organization,Material transportation,CZE,EU_E,10689213.0,0.34,0.0033920845948204686,interpolated,observed
Organization,Allocation,CZE,EU_E,10689213.0,0.96,0.010741557633345944,interpolated,observed
Experience oriented,Social,CZE,EU_E,10689213.0,0.76,0.007812363331915416,interpolated,observed
Experience oriented,Active recreation,CZE,EU_E,10689213.0,0.5,0.008101324776189066,interpolated,observed
Experience oriented,Meals,CZE,EU_E,10689213.0,1.54,0.077178624768449,interpolated,observed
Experience oriented,Passive,CZE,EU_E,10689213.0,2.38,0.26708547478251965,interpolated,observed
Experience oriented,Interactive,CZE,EU_E,10689213.0,1.23,0.10260053209575454,interpolated,observed
Food provision,Food preparation,DEU,EU_W,80827001.0,0.69,0.0005961776059407718,observed,observed
Food provision,Food growth & collection,DEU,EU_W,80827001.0,0.08,0.00016855341231843162,observed,observed
Food provision,Food processing,DEU,EU_W,80827001.0,0.06,7.317768005692674e-05,observed,observed
Nonfood provision,Materials,DEU,EU_W,80827001.0,0.01,1.8976962396181846e-06,observed,observed
Nonfood provision,Energy,DEU,EU_W,80827001.0,0.03,6.280891944962208e-06,observed,observed
Technosphere modification,Infrastructure,DEU,EU_W,80827001.0,0.06,0.0002241035315997394,observed,observed
Technosphere modification,Buildings,DEU,EU_W,80827001.0,0.2,0.0008491135513130879,observed,observed
Technosphere modification,Artifacts,DEU,EU_W,80827001.0,0.52,0.002313474696912049,observed,observed
Maintenance of surroundings,Inhabited environment,DEU,EU_W,80827001.0,1.06,0.0010536135497836113,observed,observed
Somatic maintenance,Sleep & bedrest,DEU,EU_W,80827001.0,8.67,0.1402334361198211,observed,observed
Maintenance of surroundings,Waste management,DEU,EU_W,80827001.0,0.01,1.0779053253730194e-06,observed,observed
Somatic maintenance,Physical child care,DEU,EU_W,80827001.0,0.17,0.0002024045523978283,observed,observed
Somatic maintenance,Health care,DEU,EU_W,80827001.0,0.26,0.0007246044622051753,observed,observed
Somatic maintenance,Hygiene & grooming,DEU,EU_W,80827001.0,0.95,0.001688062548531025,observed,observed
Deliberate neural restructuring,Schooling & research,DEU,EU_W,80827001.0,0.68,0.0006575000346037577,observed,observed
Deliberate neural restructuring,Religious practice,DEU,EU_W,80827001.0,0.08,2.994465496914025e-05,observed,observed
Organization,Human transportation,DEU,EU_W,80827001.0,0.96,0.002028925374346008,observed,observed
Organization,Material transportation,DEU,EU_W,80827001.0,0.35,0.0015965917338707967,observed,observed
Organization,Allocation,DEU,EU_W,80827001.0,1.41,0.004728681400107298,observed,observed
Experience oriented,Social,DEU,EU_W,80827001.0,0.93,0.0018654587852860996,observed,observed
Experience oriented,Active recreation,DEU,EU_W,80827001.0,0.66,0.0003769324797595988,observed,observed
Experience oriented,Meals,DEU,EU_W,80827001.0,1.78,0.0063575201239095,observed,observed
Experience oriented,Passive,DEU,EU_W,80827001.0,3.15,0.009682575947990097,observed,observed
Experience oriented,Interactive,DEU,EU_W,80827001.0,1.23,0.0009412384859162731,observed,observed
Food provision,Food preparation,DJI,AF_E,973557.0,0.76,0.22974201284171644,interpolated,interpolated
Food provision,Food growth & collection,DJI,AF_E,973557.0,1.19,0.28011515479066257,interpolated,interpolated
Food provision,Food processing,DJI,AF_E,973557.0,0.13,0.009720881837917958,interpolated,interpolated
Nonfood provision,Materials,DJI,AF_E,973557.0,0.09,0.002028542322160076,interpolated,interpolated
Nonfood provision,Energy,DJI,AF_E,973557.0,0.01,0.00219903912867708,interpolated,interpolated
Technosphere modification,Infrastructure,DJI,AF_E,973557.0,0.02,0.0003124497202680379,interpolated,interpolated
Technosphere modification,Buildings,DJI,AF_E,973557.0,0.16,0.015500072399946377,interpolated,interpolated
Technosphere modification,Artifacts,DJI,AF_E,973557.0,0.19,0.0200998848083156,interpolated,interpolated
Maintenance of surroundings,Inhabited environment,DJI,AF_E,973557.0,0.86,0.22875189653075095,interpolated,interpolated
Somatic maintenance,Sleep & bedrest,DJI,AF_E,973557.0,8.93,2.6149926440655356,interpolated,interpolated
Maintenance of surroundings,Waste management,DJI,AF_E,973557.0,0.01,0.0006762889023721411,interpolated,interpolated
Somatic maintenance,Physical child care,DJI,AF_E,973557.0,0.29,0.06530663057209452,interpolated,interpolated
Somatic maintenance,Health care,DJI,AF_E,973557.0,0.36,0.9660871804958426,interpolated,interpolated
Somatic maintenance,Hygiene & grooming,DJI,AF_E,973557.0,1.08,1.0225105721092997,interpolated,interpolated
Deliberate neural restructuring,Schooling & research,DJI,AF_E,973557.0,1.1,0.28532871360716744,interpolated,interpolated
Deliberate neural restructuring,Religious practice,DJI,AF_E,973557.0,0.15,0.15343942942615132,interpolated,interpolated
Organization,Human transportation,DJI,AF_E,973557.0,0.99,1.0390538346028828,interpolated,interpolated
Organization,Material transportation,DJI,AF_E,973557.0,0.3,0.07839503499584849,interpolated,interpolated
Organization,Allocation,DJI,AF_E,973557.0,0.8,0.18738762687501925,interpolated,interpolated
Experience oriented,Social,DJI,AF_E,973557.0,0.93,0.5942397339982698,interpolated,interpolated
Experience oriented,Active recreation,DJI,AF_E,973557.0,0.39,0.1001867438502954,interpolated,interpolated
Experience oriented,Meals,DJI,AF_E,973557.0,1.88,1.2620995678166318,interpolated,interpolated
Experience oriented,Passive,DJI,AF_E,973557.0,2.25,1.8155716088633478,interpolated,interpolated
Experience oriented,Interactive,DJI,AF_E,973557.0,1.1,0.3508945565959956,interpolated,interpolated
Food provision,Food preparation,DNK,EU_N,5771877.0,0.77,0.015762870013871295,interpolated,observed
Food provision,Food growth & collection,DNK,EU_N,5771877.0,0.11,0.004332011913070746,interpolated,observed
Food provision,Food processing,DNK,EU_N,5771877.0,0.06,4.09515348242364e-05,interpolated,observed
Nonfood provision,Materials,DNK,EU_N,5771877.0,0.01,8.240529918834844e-06,interpolated,observed
Nonfood provision,Energy,DNK,EU_N,5771877.0,0.02,0.00012126321156255294,interpolated,observed
Technosphere modification,Infrastructure,DNK,EU_N,5771877.0,0.07,0.0002577668777371779,interpolated,observed
Technosphere modification,Buildings,DNK,EU_N,5771877.0,0.22,0.0012470288112209605,interpolated,observed
Technosphere modification,Artifacts,DNK,EU_N,5771877.0,0.36,0.0006098226145967276,interpolated,observed
Maintenance of surroundings,Inhabited environment,DNK,EU_N,5771877.0,0.91,0.026905480101110123,interpolated,observed
Somatic maintenance,Sleep & bedrest,DNK,EU_N,5771877.0,8.84,0.058577105211069,interpolated,observed
Maintenance of surroundings,Waste management,DNK,EU_N,5771877.0,0.01,3.4963755954353243e-06,interpolated,observed
Somatic maintenance,Physical child care,DNK,EU_N,5771877.0,0.29,0.034770674540683374,interpolated,observed
Somatic maintenance,Health care,DNK,EU_N,5771877.0,0.31,0.0027283660366725685,interpolated,observed
Somatic maintenance,Hygiene & grooming,DNK,EU_N,5771877.0,0.96,0.00945207970955491,interpolated,observed
Deliberate neural restructuring,Schooling & research,DNK,EU_N,5771877.0,0.88,0.009297692610576676,interpolated,observed
Deliberate neural restructuring,Religious practice,DNK,EU_N,5771877.0,0.12,0.001336645750082744,interpolated,observed
Organization,Human transportation,DNK,EU_N,5771877.0,1.02,0.00984048778953091,interpolated,observed
Organization,Material transportation,DNK,EU_N,5771877.0,0.38,0.0020893371918015782,interpolated,observed
Organization,Allocation,DNK,EU_N,5771877.0,1.23,0.013039201821666485,interpolated,observed
Experience oriented,Social,DNK,EU_N,5771877.0,0.87,0.07711151422981892,interpolated,observed
Experience oriented,Active recreation,DNK,EU_N,5771877.0,0.63,0.01018759324816283,interpolated,observed
Experience oriented,Meals,DNK,EU_N,5771877.0,1.6,0.0024845379399372,interpolated,observed
Experience oriented,Passive,DNK,EU_N,5771877.0,3.23,0.02811383554283026,interpolated,observed
Experience oriented,Interactive,DNK,EU_N,5771877.0,1.1,0.07212565213340255,interpolated,observed
Food provision,Food preparation,DOM,AM_C,10738957.0,1.15,0.23005469524287883,interpolated,observed
Food provision,Food growth & collection,DOM,AM_C,10738957.0,0.38,0.02940153869969756,interpolated,observed
Food provision,Food processing,DOM,AM_C,10738957.0,0.08,0.0077750483961295585,interpolated,observed
Nonfood provision,Materials,DOM,AM_C,10738957.0,0.04,0.002096937345151821,interpolated,observed
Nonfood provision,Energy,DOM,AM_C,10738957.0,0.03,0.0035528561728044848,interpolated,observed
Technosphere modification,Infrastructure,DOM,AM_C,10738957.0,0.03,6.24238837819052e-05,interpolated,observed
Technosphere modification,Buildings,DOM,AM_C,10738957.0,0.25,0.014303267740117637,interpolated,observed
Technosphere modification,Artifacts,DOM,AM_C,10738957.0,0.34,0.018126875157284845,interpolated,observed
Maintenance of surroundings,Inhabited environment,DOM,AM_C,10738957.0,1.43,0.2101993222912102,interpolated,observed
Somatic maintenance,Sleep & bedrest,DOM,AM_C,10738957.0,8.21,3.8838580704242074,interpolated,observed
Maintenance of surroundings,Waste management,DOM,AM_C,10738957.0,0.01,0.0006600702162834646,interpolated,observed
Somatic maintenance,Physical child care,DOM,AM_C,10738957.0,0.7,0.07100279400157503,interpolated,observed
Somatic maintenance,Health care,DOM,AM_C,10738957.0,0.5,0.044488262588754456,interpolated,observed
Somatic maintenance,Hygiene & grooming,DOM,AM_C,10738957.0,0.98,3.021364538786633,interpolated,observed
Deliberate neural restructuring,Schooling & research,DOM,AM_C,10738957.0,1.24,0.3109860487270048,interpolated,observed
Deliberate neural restructuring,Religious practice,DOM,AM_C,10738957.0,0.22,0.15333365093708692,interpolated,observed
Organization,Human transportation,DOM,AM_C,10738957.0,0.7,0.5988748550429405,interpolated,observed
Organization,Material transportation,DOM,AM_C,10738957.0,0.24,0.04098834651975683,interpolated,observed
Organization,Allocation,DOM,AM_C,10738957.0,1.32,0.1379614762163649,interpolated,observed
Experience oriented,Social,DOM,AM_C,10738957.0,0.98,0.9608352654913449,interpolated,observed
Experience oriented,Active recreation,DOM,AM_C,10738957.0,0.45,0.10059428720127463,interpolated,observed
Experience oriented,Meals,DOM,AM_C,10738957.0,1.27,3.2601218279034234,interpolated,observed
Experience oriented,Passive,DOM,AM_C,10738957.0,2.08,1.125969745223732,interpolated,observed
Experience oriented,Interactive,DOM,AM_C,10738957.0,1.38,0.571628384854234,interpolated,observed
Food provision,Food preparation,DZA,AF_N,41389174.0,1.14,0.012102747109240058,observed,observed
Food provision,Food growth & collection,DZA,AF_N,41389174.0,0.16,0.0005566284800391387,observed,observed
Food provision,Food processing,DZA,AF_N,41389174.0,0.0,5.538659980998998e-09,observed,observed
Nonfood provision,Materials,DZA,AF_N,41389174.0,0.04,6.267808948774286e-05,observed,observed
Nonfood provision,Energy,DZA,AF_N,41389174.0,0.03,3.204828597433261e-05,observed,observed
Technosphere modification,Infrastructure,DZA,AF_N,41389174.0,0.07,0.0013310606806749964,observed,observed
Technosphere modification,Buildings,DZA,AF_N,41389174.0,0.24,0.007261284711047564,observed,observed
Technosphere modification,Artifacts,DZA,AF_N,41389174.0,0.2,0.006131086495256611,observed,observed
Maintenance of surroundings,Inhabited environment,DZA,AF_N,41389174.0,0.76,0.010118700899501155,observed,observed
Somatic maintenance,Sleep & bedrest,DZA,AF_N,41389174.0,9.94,0.5858004330293025,observed,observed
Maintenance of surroundings,Waste management,DZA,AF_N,41389174.0,0.0,2.0090948312264158e-07,observed,observed
Somatic maintenance,Physical child care,DZA,AF_N,41389174.0,0.19,0.0003015344649313075,observed,observed
Somatic maintenance,Health care,DZA,AF_N,41389174.0,0.09,5.731678474852887e-05,observed,observed
Somatic maintenance,Hygiene & grooming,DZA,AF_N,41389174.0,0.74,0.0026558287061005685,observed,observed
Deliberate neural restructuring,Schooling & research,DZA,AF_N,41389174.0,0.89,0.0033859562191407597,observed,observed
Deliberate neural restructuring,Religious practice,DZA,AF_N,41389174.0,0.53,0.002161398035358426,observed,observed
Organization,Human transportation,DZA,AF_N,41389174.0,0.67,0.007198955071020178,observed,observed
Organization,Material transportation,DZA,AF_N,41389174.0,0.2,0.007006736363436504,observed,observed
Organization,Allocation,DZA,AF_N,41389174.0,0.71,0.00714224989353199,observed,observed
Experience oriented,Social,DZA,AF_N,41389174.0,1.25,0.005093603206739489,observed,observed
Experience oriented,Active recreation,DZA,AF_N,41389174.0,0.52,0.0008586924492391333,observed,observed
Experience oriented,Meals,DZA,AF_N,41389174.0,1.79,0.0219279135762325,observed,observed
Experience oriented,Passive,DZA,AF_N,41389174.0,3.08,0.035413868144444506,observed,observed
Experience oriented,Interactive,DZA,AF_N,41389174.0,0.75,0.00227840775540398,observed,observed
Food provision,Food preparation,ECU,AM_S,15951832.0,0.73,0.1925055637097556,interpolated,observed
Food provision,Food growth & collection,ECU,AM_S,15951832.0,0.6,0.0422395068175375,interpolated,observed
Food provision,Food processing,ECU,AM_S,15951832.0,0.08,0.006249996715725323,interpolated,observed
Nonfood provision,Materials,ECU,AM_S,15951832.0,0.05,0.0008459566356772921,interpolated,observed
Nonfood provision,Energy,ECU,AM_S,15951832.0,0.03,0.0022007048913374404,interpolated,observed
Technosphere modification,Infrastructure,ECU,AM_S,15951832.0,0.04,4.305191319266191e-05,interpolated,observed
Technosphere modification,Buildings,ECU,AM_S,15951832.0,0.29,0.027742354749375846,interpolated,observed
Technosphere modification,Artifacts,ECU,AM_S,15951832.0,0.39,0.02868127240229582,interpolated,observed
Maintenance of surroundings,Inhabited environment,ECU,AM_S,15951832.0,0.73,0.20389679605848243,interpolated,observed
Somatic maintenance,Sleep & bedrest,ECU,AM_S,15951832.0,8.78,1.873210108765885,interpolated,observed
Maintenance of surroundings,Waste management,ECU,AM_S,15951832.0,0.01,3.7171802823020194e-05,interpolated,observed
Somatic maintenance,Physical child care,ECU,AM_S,15951832.0,0.31,0.06740325080473385,interpolated,observed
Somatic maintenance,Health care,ECU,AM_S,15951832.0,0.15,0.04750144581713659,interpolated,observed
Somatic maintenance,Hygiene & grooming,ECU,AM_S,15951832.0,1.01,0.11861940077560501,interpolated,observed
Deliberate neural restructuring,Schooling & research,ECU,AM_S,15951832.0,1.02,0.28797712765540484,interpolated,observed
Deliberate neural restructuring,Religious practice,ECU,AM_S,15951832.0,0.16,0.15278403175776561,interpolated,observed
Organization,Human transportation,ECU,AM_S,15951832.0,1.04,0.13969758384857442,interpolated,observed
Organization,Material transportation,ECU,AM_S,15951832.0,0.4,0.04584639266385679,interpolated,observed
Organization,Allocation,ECU,AM_S,15951832.0,1.13,0.11544510816392504,interpolated,observed
Experience oriented,Social,ECU,AM_S,15951832.0,1.18,0.5928827273407613,interpolated,observed
Experience oriented,Active recreation,ECU,AM_S,15951832.0,0.56,0.09973669393854936,interpolated,observed
Experience oriented,Meals,ECU,AM_S,15951832.0,1.31,0.3603453634284081,interpolated,observed
Experience oriented,Passive,ECU,AM_S,15951832.0,2.85,0.9550873853179116,interpolated,observed
Experience oriented,Interactive,ECU,AM_S,15951832.0,1.14,0.34777218806874227,interpolated,observed
Food provision,Food preparation,EGY,AF_N,100388076.0,1.17,0.19628428504996195,interpolated,observed
Food provision,Food growth & collection,EGY,AF_N,100388076.0,0.37,0.025168037751714434,interpolated,observed
Food provision,Food processing,EGY,AF_N,100388076.0,0.05,0.006168012336389373,interpolated,observed
Nonfood provision,Materials,EGY,AF_N,100388076.0,0.03,0.0007679833731104315,interpolated,observed
Nonfood provision,Energy,EGY,AF_N,100388076.0,0.03,0.0021871047194402435,interpolated,observed
Technosphere modification,Infrastructure,EGY,AF_N,100388076.0,0.06,0.00043855107996480997,interpolated,observed
Technosphere modification,Buildings,EGY,AF_N,100388076.0,0.24,0.017539646172604898,interpolated,observed
Technosphere modification,Artifacts,EGY,AF_N,100388076.0,0.23,0.01759479733250902,interpolated,observed
Maintenance of surroundings,Inhabited environment,EGY,AF_N,100388076.0,0.73,0.1907323274848522,interpolated,observed
Somatic maintenance,Sleep & bedrest,EGY,AF_N,100388076.0,9.33,1.398380964841321,interpolated,observed
Maintenance of surroundings,Waste management,EGY,AF_N,100388076.0,0.01,3.625171910213167e-05,interpolated,observed
Somatic maintenance,Physical child care,EGY,AF_N,100388076.0,0.2,0.06281963073386551,interpolated,observed
Somatic maintenance,Health care,EGY,AF_N,100388076.0,0.12,0.04338966937203847,interpolated,observed
Somatic maintenance,Hygiene & grooming,EGY,AF_N,100388076.0,0.79,0.10425319599736044,interpolated,observed
Deliberate neural restructuring,Schooling & research,EGY,AF_N,100388076.0,0.87,0.2827558655311649,interpolated,observed
Deliberate neural restructuring,Religious practice,EGY,AF_N,100388076.0,0.64,0.15484474403350681,interpolated,observed
Organization,Human transportation,EGY,AF_N,100388076.0,0.71,0.1274307894295779,interpolated,observed
Organization,Material transportation,EGY,AF_N,100388076.0,0.29,0.044033948083870116,interpolated,observed
Organization,Allocation,EGY,AF_N,100388076.0,0.66,0.09822860719063878,interpolated,observed
Experience oriented,Social,EGY,AF_N,100388076.0,1.35,0.5904566025661419,interpolated,observed
Experience oriented,Active recreation,EGY,AF_N,100388076.0,0.62,0.09936542279508909,interpolated,observed
Experience oriented,Meals,EGY,AF_N,100388076.0,1.57,0.3632820795591698,interpolated,observed
Experience oriented,Passive,EGY,AF_N,100388076.0,3.03,0.9258020011468489,interpolated,observed
Experience oriented,Interactive,EGY,AF_N,100388076.0,0.89,0.34693283785761236,interpolated,observed
Food provision,Food preparation,ERI,AF_E,3497117.0,0.76,0.22974201284171644,interpolated,interpolated
Food provision,Food growth & collection,ERI,AF_E,3497117.0,1.19,0.28011515479066257,interpolated,interpolated
Food provision,Food processing,ERI,AF_E,3497117.0,0.13,0.009720881837917958,interpolated,interpolated
Nonfood provision,Materials,ERI,AF_E,3497117.0,0.09,0.002028542322160076,interpolated,interpolated
Nonfood provision,Energy,ERI,AF_E,3497117.0,0.01,0.00219903912867708,interpolated,interpolated
Technosphere modification,Infrastructure,ERI,AF_E,3497117.0,0.02,0.0003124497202680379,interpolated,interpolated
Technosphere modification,Buildings,ERI,AF_E,3497117.0,0.16,0.015500072399946377,interpolated,interpolated
Technosphere modification,Artifacts,ERI,AF_E,3497117.0,0.19,0.0200998848083156,interpolated,interpolated
Maintenance of surroundings,Inhabited environment,ERI,AF_E,3497117.0,0.86,0.22875189653075095,interpolated,interpolated
Somatic maintenance,Sleep & bedrest,ERI,AF_E,3497117.0,8.93,2.6149926440655356,interpolated,interpolated
Maintenance of surroundings,Waste management,ERI,AF_E,3497117.0,0.01,0.0006762889023721411,interpolated,interpolated
Somatic maintenance,Physical child care,ERI,AF_E,3497117.0,0.29,0.06530663057209452,interpolated,interpolated
Somatic maintenance,Health care,ERI,AF_E,3497117.0,0.36,0.9660871804958426,interpolated,interpolated
Somatic maintenance,Hygiene & grooming,ERI,AF_E,3497117.0,1.08,1.0225105721092997,interpolated,interpolated
Deliberate neural restructuring,Schooling & research,ERI,AF_E,3497117.0,1.1,0.28532871360716744,interpolated,interpolated
Deliberate neural restructuring,Religious practice,ERI,AF_E,3497117.0,0.15,0.15343942942615132,interpolated,interpolated
Organization,Human transportation,ERI,AF_E,3497117.0,0.99,1.0390538346028828,interpolated,interpolated
Organization,Material transportation,ERI,AF_E,3497117.0,0.3,0.07839503499584849,interpolated,interpolated
Organization,Allocation,ERI,AF_E,3497117.0,0.8,0.18738762687501925,interpolated,interpolated
Experience oriented,Social,ERI,AF_E,3497117.0,0.93,0.5942397339982698,interpolated,interpolated
Experience oriented,Active recreation,ERI,AF_E,3497117.0,0.39,0.1001867438502954,interpolated,interpolated
Experience oriented,Meals,ERI,AF_E,3497117.0,1.88,1.2620995678166318,interpolated,interpolated
Experience oriented,Passive,ERI,AF_E,3497117.0,2.25,1.8155716088633478,interpolated,interpolated
Experience oriented,Interactive,ERI,AF_E,3497117.0,1.1,0.3508945565959956,interpolated,interpolated
Food provision,Food preparation,ESH,AF_N,582458.0,1.16,0.21522931590740532,interpolated,interpolated
Food provision,Food growth & collection,ESH,AF_N,582458.0,0.36,0.5315158755423957,interpolated,interpolated
Food provision,Food processing,ESH,AF_N,582458.0,0.03,0.010781443950931315,interpolated,interpolated
Nonfood provision,Materials,ESH,AF_N,582458.0,0.06,0.00835740700573737,interpolated,interpolated
Nonfood provision,Energy,ESH,AF_N,582458.0,0.04,0.005055869218119725,interpolated,interpolated
Technosphere modification,Infrastructure,ESH,AF_N,582458.0,0.07,0.015094965540925431,interpolated,interpolated
Technosphere modification,Buildings,ESH,AF_N,582458.0,0.23,0.0912173381753581,interpolated,interpolated
Technosphere modification,Artifacts,ESH,AF_N,582458.0,0.24,0.11237718659348797,interpolated,interpolated
Maintenance of surroundings,Inhabited environment,ESH,AF_N,582458.0,0.73,0.2006203903090206,interpolated,interpolated
Somatic maintenance,Sleep & bedrest,ESH,AF_N,582458.0,9.33,1.398380964841321,interpolated,interpolated
Maintenance of surroundings,Waste management,ESH,AF_N,582458.0,0.01,0.00017716202974975417,interpolated,interpolated
Somatic maintenance,Physical child care,ESH,AF_N,582458.0,0.2,0.0632846466378267,interpolated,interpolated
Somatic maintenance,Health care,ESH,AF_N,582458.0,0.1,0.0615162098278777,interpolated,interpolated
Somatic maintenance,Hygiene & grooming,ESH,AF_N,582458.0,0.79,0.10489341501496897,interpolated,interpolated
Deliberate neural restructuring,Schooling & research,ESH,AF_N,582458.0,0.86,0.3050563661523419,interpolated,interpolated
Deliberate neural restructuring,Religious practice,ESH,AF_N,582458.0,0.64,0.15489775205083048,interpolated,interpolated
Organization,Human transportation,ESH,AF_N,582458.0,0.72,0.13050064507705258,interpolated,interpolated
Organization,Material transportation,ESH,AF_N,582458.0,0.25,0.05798476658970019,interpolated,interpolated
Organization,Allocation,ESH,AF_N,582458.0,0.71,0.31708198916535846,interpolated,interpolated
Experience oriented,Social,ESH,AF_N,582458.0,1.35,0.5921359358295013,interpolated,interpolated
Experience oriented,Active recreation,ESH,AF_N,582458.0,0.62,0.09951694038813619,interpolated,interpolated
Experience oriented,Meals,ESH,AF_N,582458.0,1.57,0.3632820795591698,interpolated,interpolated
Experience oriented,Passive,ESH,AF_N,582458.0,3.04,0.9279567865194728,interpolated,interpolated
Experience oriented,Interactive,ESH,AF_N,582458.0,0.89,0.3487386008559886,interpolated,interpolated
Food provision,Food preparation,ESP,EU_S,46931011.0,0.97,0.0009626206352899944,observed,observed
Food provision,Food growth & collection,ESP,EU_S,46931011.0,0.15,4.6426222242465085e-05,observed,observed
Food provision,Food processing,ESP,EU_S,46931011.0,0.07,0.00010099948903520953,observed,observed
Nonfood provision,Materials,ESP,EU_S,46931011.0,0.02,5.817668433772527e-06,observed,observed
Nonfood provision,Energy,ESP,EU_S,46931011.0,0.01,1.1859408971247574e-07,observed,observed
Technosphere modification,Infrastructure,ESP,EU_S,46931011.0,0.06,0.0001082454448273553,observed,observed
Technosphere modification,Buildings,ESP,EU_S,46931011.0,0.22,0.00032271107509130876,observed,observed
Technosphere modification,Artifacts,ESP,EU_S,46931011.0,0.33,0.0002634054440246265,observed,observed
Maintenance of surroundings,Inhabited environment,ESP,EU_S,46931011.0,1.01,0.0011103222880089916,observed,observed
Somatic maintenance,Sleep & bedrest,ESP,EU_S,46931011.0,8.87,0.144964156506862,observed,observed
Maintenance of surroundings,Waste management,ESP,EU_S,46931011.0,0.01,1.3205489066574181e-08,observed,observed
Somatic maintenance,Physical child care,ESP,EU_S,46931011.0,0.34,0.000494152864942863,observed,observed
Somatic maintenance,Health care,ESP,EU_S,46931011.0,0.22,0.0008316722684965477,observed,observed
Somatic maintenance,Hygiene & grooming,ESP,EU_S,46931011.0,0.89,0.001442937639710005,observed,observed
Deliberate neural restructuring,Schooling & research,ESP,EU_S,46931011.0,0.81,0.0006496107189529898,observed,observed
Deliberate neural restructuring,Religious practice,ESP,EU_S,46931011.0,0.09,3.31768890246692e-05,observed,observed
Organization,Human transportation,ESP,EU_S,46931011.0,0.94,0.0017274694720451648,observed,observed
Organization,Material transportation,ESP,EU_S,46931011.0,0.33,0.0013449875281722093,observed,observed
Organization,Allocation,ESP,EU_S,46931011.0,1.26,0.000565875457558059,observed,observed
Experience oriented,Social,ESP,EU_S,46931011.0,0.63,0.001148686545233871,observed,observed
Experience oriented,Active recreation,ESP,EU_S,46931011.0,0.89,0.0007820198573462178,observed,observed
Experience oriented,Meals,ESP,EU_S,46931011.0,2.0,0.008006971553304,observed,observed
Experience oriented,Passive,ESP,EU_S,46931011.0,2.96,0.010868703328746348,observed,observed
Experience oriented,Interactive,ESP,EU_S,46931011.0,0.9,0.0007838814441661343,observed,observed
Food provision,Food preparation,EST,EU_N,1332103.0,0.85,0.0010026559492336132,observed,observed
Food provision,Food growth & collection,EST,EU_N,1332103.0,0.13,0.00015088101331610558,observed,observed
Food provision,Food processing,EST,EU_N,1332103.0,0.06,8.122444777405169e-05,observed,observed
Nonfood provision,Materials,EST,EU_N,1332103.0,0.04,7.405162821540743e-06,observed,observed
Nonfood provision,Energy,EST,EU_N,1332103.0,0.07,3.544331104325296e-06,observed,observed
Technosphere modification,Infrastructure,EST,EU_N,1332103.0,0.05,3.1333106220813334e-05,observed,observed
Technosphere modification,Buildings,EST,EU_N,1332103.0,0.26,0.0008992157923536579,observed,observed
Technosphere modification,Artifacts,EST,EU_N,1332103.0,0.51,0.0009763313821263715,observed,observed
Maintenance of surroundings,Inhabited environment,EST,EU_N,1332103.0,0.99,0.001012784833993284,observed,observed
Somatic maintenance,Sleep & bedrest,EST,EU_N,1332103.0,9.11,0.1519079490778064,observed,observed
Maintenance of surroundings,Waste management,EST,EU_N,1332103.0,0.0,0.0,observed,observed
Somatic maintenance,Physical child care,EST,EU_N,1332103.0,0.27,0.0003658221491641,observed,observed
Somatic maintenance,Health care,EST,EU_N,1332103.0,0.2,0.00041660241847507194,observed,observed
Somatic maintenance,Hygiene & grooming,EST,EU_N,1332103.0,0.95,0.0016607544552442242,observed,observed
Deliberate neural restructuring,Schooling & research,EST,EU_N,1332103.0,0.83,0.0005620031434875742,observed,observed
Deliberate neural restructuring,Religious practice,EST,EU_N,1332103.0,0.07,2.0032201885705758e-05,observed,observed
Organization,Human transportation,EST,EU_N,1332103.0,0.84,0.002654954886615918,observed,observed
Organization,Material transportation,EST,EU_N,1332103.0,0.5,0.002379979654427047,observed,observed
Organization,Allocation,EST,EU_N,1332103.0,1.15,0.0003847458618193203,observed,observed
Experience oriented,Social,EST,EU_N,1332103.0,0.51,0.0015223914503846,observed,observed
Experience oriented,Active recreation,EST,EU_N,1332103.0,0.66,0.0003696695644134336,observed,observed
Experience oriented,Meals,EST,EU_N,1332103.0,1.52,0.0048017235044862,observed,observed
Experience oriented,Passive,EST,EU_N,1332103.0,3.28,0.010752013321371151,observed,observed
Experience oriented,Interactive,EST,EU_N,1332103.0,1.15,0.0012461004972425008,observed,observed
Food provision,Food preparation,ETH,AF_E,95385793.0,0.83,0.04431788413484154,observed,observed
Food provision,Food growth & collection,ETH,AF_E,95385793.0,1.24,0.046368373582614045,observed,observed
Food provision,Food processing,ETH,AF_E,95385793.0,0.16,0.003121576341152872,observed,observed
